"","x"
"1",0.00420831890025219
"2",-0.00817479459260184
"3",-0.00168573629244229
"4",-0.00601712171624236
"5",0.000578304038276301
"6",0.00206124582729927
"7",0.00632635671549231
"8",-0.00827099999716374
"9",0.00985212798680735
"10",0.00205052321321908
"11",0.0048358573700984
"12",-0.00464425303488802
"13",-0.00180957741568655
"14",0.0037236042997133
"15",0.00152737975277262
"16",-0.00537125309082498
"17",-0.00584620273950698
"18",0.00865235287245092
"19",0.00765281070997581
"20",0
"21",0.00259833655823094
"22",0.00372242427823011
"23",0.00549481390017981
"24",0.000920392092597311
"25",-0.000467809602902491
"26",0.00218163657009818
"27",0.000846933175481013
"28",-0.00209435578538653
"29",-0.00156028130960983
"30",0.00222805938303061
"31",-0.0062336992998091
"32",-0.00326254815727189
"33",-0.00484530325682719
"34",-0.0121232234664408
"35",-0.00504589234393293
"36",-0.00624918027237698
"37",0.00281457047836575
"38",0.000356021306110677
"39",-0.000884148383301309
"40",-0.00751852180539103
"41",-0.00477442771451564
"42",0.000550817256371516
"43",-0.00260631387936705
"44",-0.0160835441423277
"45",-0.00238383669494802
"46",-0.0036960202430425
"47",-0.00352685874902825
"48",0.0183928929624066
"49",0.00376540672983161
"50",-0.0090180002555833
"51",0.00471010961429918
"52",-0.00332410975437369
"53",0.0010933188982456
"54",-0.00407578666016128
"55",0.00814882035241737
"56",-0.00483243605519235
"57",-0.000296109066061589
"58",0.0022067380527222
"59",-0.00259874489958456
"60",-0.000128601633923253
"61",-0.0016897470220858
"62",0.0016847034837415
"63",-0.00611758846772936
"64",-0.0185883265770492
"65",0.000118896229578169
"66",-0.00203740485784465
"67",0.000630421956973493
"68",0.00203353921938998
"69",0.00374082311438784
"70",-0.00313918188097517
"71",-0.0101940035813133
"72",-0.00123817858765563
"73",0.00426258771284438
"74",-0.00171092895714686
"75",-0.00432613834374784
"76",-0.000762765066756543
"77",0.00550421905961684
"78",-0.00685454849759282
"79",-0.000660766985694394
"80",0.00758299949270658
"81",0.000166587277801611
"82",0.00285629455725633
"83",-0.00283156912343685
"84",-0.00286440542496891
"85",0.00737242087565804
"86",0.00120276741600378
"87",-0.00217484174346971
"88",-0.0149167583984262
"89",-0.00384150999287058
"90",-0.00744266956873396
"91",0.00814138423958966
"92",-0.000146570740120922
"93",0.00301950511786764
"94",0.00437067135249691
"95",0.0068270440529421
"96",-0.0089121263712677
"97",0.000351973947054773
"98",0.000868897591697504
"99",0.00110275352048461
"100",0.00467285682226048
"101",-0.00438851482637226
"102",0.000307836807005302
"103",-0.0138955418251392
"104",-0.000273619617310317
"105",-0.00558702347180251
"106",0.000264468286719222
"107",-0.00344891590091478
"108",-0.000380671031107838
"109",-0.00171750108302682
"110",0.0149356675835772
"111",0.00482669671490576
"112",0.00394485604719286
"113",-0.00635991176406492
"114",0.00987245637754341
"115",0.00419935253374426
"116",0.00133045932170361
"117",-0.00059543157546571
"118",0.00434188636442023
"119",-0.00528906681715036
"120",0.00508834928367108
"121",0.00151668511793801
"122",-0.0013586976193416
"123",0.000286126924487817
"124",-0.00355845033218571
"125",-0.000361220982810551
"126",0.0027189429621064
"127",-0.0101149053926797
"128",-0.00308801878695597
"129",-0.00501882450420865
"130",0.00953943238121369
"131",-0.0132313862204274
"132",-0.000751430835141065
"133",0.00028102436215427
"134",0.00126892812482815
"135",-0.00540875836366794
"136",0.000220904778961639
"137",-0.00340415197693211
"138",0.00308209378275848
"139",0.00217918743678958
"140",-0.0100914552495777
"141",-0.0040720056857122
"142",0.00427188508800036
"143",0.000732102736250795
"144",0.00367920462659299
"145",-0.000617161105310515
"146",-0.00188188583796389
"147",0.00166939810699418
"148",0.00191877001255847
"149",0.00105195731741681
"150",-0.0125081917896779
"151",0.0101948274158534
"152",-0.0062221434474381
"153",-0.0019695559396169
"154",-0.00882980474348827
"155",0.0128401585375126
"156",-0.00726241111282633
"157",0.00112343176976282
"158",0.0010412874057586
"159",-4.04435579781648e-06
"160",0.00387507161995693
"161",-0.0140783015664336
"162",-0.00282457745850984
"163",0.000774108499852488
"164",-0.00494026795083791
"165",0.00864277511607803
"166",0.00809407414821273
"167",-0.00332882412545921
"168",-0.00201428762415645
"169",0.00369629647942915
"170",0.0130712043197807
"171",0.011727700160808
"172",0.0114276025896896
"173",-0.00582524396736872
"174",-0.00407479636684194
"175",0.00592744766029618
"176",-0.00324275528986462
"177",0.00107291081261707
"178",-0.0179894034237247
"179",0.000316278538599946
"180",-0.00575937018716566
"181",-0.00525970350047444
"182",0.00775539898618227
"183",0.00541491542632677
"184",0.0128795070838734
"185",-0.000819201712094042
"186",-0.00113589485641086
"187",0.00427100039869899
"188",-0.00022688956149608
"189",0.0078286774844436
"190",-0.000688688674207683
"191",0.00688245038243629
"192",-0.00928420082406056
"193",-0.000948205337893526
"194",0.00760727215125812
"195",-0.00497906057472619
"196",-0.0193557358675776
"197",0.000204603309441609
"198",-0.00408136665158665
"199",-0.00249481600592638
"200",-0.00488877917313779
"201",-0.00209579666512205
"202",0.00158637606961598
"203",0.00199184925656581
"204",0.0015793746118522
"205",-0.00340990167134336
"206",0.00463227050091852
"207",-0.00116208561903441
"208",-0.0170787279854618
"209",-0.00067474500266762
"210",-0.00178788869366286
"211",-0.00682190443994735
"212",-0.00178131702088535
"213",0.000634975314460107
"214",0.00655751754186795
"215",0.0063639287015409
"216",0.00444308947372463
"217",0.0157768804474845
"218",0.00226327675512294
"219",0.0124734492874516
"220",-0.00411682888967491
"221",-0.00792344327604155
"222",0.00358973486370218
"223",0.00130697703482952
"224",-0.00466558371301495
"225",0.00430329361253001
"226",0.0137434113752057
"227",0.00431351575520367
"228",-0.000667806553211747
"229",-0.000196269196180765
"230",-0.00206510956853734
"231",0.00194030911909415
"232",-0.00171888979427415
"233",-0.00193712615129726
"234",-0.00230963578305854
"235",-0.00759476548797977
"236",-0.0178851973485123
"237",-0.00636202012486464
"238",0.0037935520149226
"239",0.00075833057971586
"240",-0.00324441330560177
"241",-0.0181777047901814
"242",-0.00119947995703384
"243",-0.00231922381776251
"244",0.00324128878629182
"245",0.0219535259133803
"246",0.0103758361437887
"247",0.00100219454416539
"248",0.000567110652907488
"249",-0.00797699657988105
"250",0.00384713989828533
"251",-0.00521724621882846
"252",-0.00105665163930801
"253",0.00111159916108861
"254",0.00536759754089644
"255",0.00758906811483939
"256",0.00133919532140503
"257",0.0025293938259523
"258",0.00712225291290558
"259",-0.00189378865294287
"260",-0.00335106347339753
"261",-0.00104753943115909
"262",-0.00317695663395767
"263",-0.00110090178005429
"264",0.00493072539186734
"265",0.00323172518934456
"266",0.000493035878346149
"267",-0.0036918657465197
"268",0.000958752038782151
"269",-0.0155008385972319
"270",-0.00590906762836418
"271",0.0101455887253401
"272",0.0138794394279511
"273",-0.00741281727792575
"274",0.00739970622071517
"275",0.0176547221826215
"276",0.00103515279677069
"277",-0.00181866707864131
"278",-0.00188010123017079
"279",-0.00246613076499713
"280",0.00359951817818605
"281",0.00342847616815689
"282",-0.00297186987995346
"283",-0.00310490265711394
"284",0.00138961533900783
"285",0.00293574973740363
"286",0.00183883308464772
"287",-0.00978496304671594
"288",0.0110684681292081
"289",-0.00197154561528734
"290",0.012470436990009
"291",-0.00496620910320189
"292",0.00268550334756057
"293",0.00488956287907172
"294",0.00266652819179569
"295",0.000243897354543776
"296",-0.00145668475767557
"297",-0.00048603350790799
"298",0.00134993166466657
"299",-0.00379126361795379
"300",-0.000964992437477719
"301",-0.00363086285305236
"302",-0.00236657497189086
"303",-0.00501200237425259
"304",-0.00568806887788931
"305",-0.0102074955547256
"306",-0.00371565380101124
"307",0.00502760487058396
"308",-0.00539180671579409
"309",-0.00148306792712383
"310",-0.00739695299420617
"311",-0.0106350331080094
"312",-0.0016688935821989
"313",-0.00891570324467139
"314",0.0126334701631343
"315",0.00892585725920192
"316",-0.00405481299196708
"317",-0.0177205948671517
"318",-0.00928819201800302
"319",0.010122544714056
"320",-0.00888956193200841
"321",0.0390743334133372
"322",-0.0116531695221376
"323",0.0261138276303541
"324",0.0168454483231599
"325",0.00631758152798589
"326",-0.00131740021829607
"327",0.00130100647591291
"328",0.00218178698241367
"329",-0.000386378586595626
"330",-0.00367111265020448
"331",-0.0048951381406237
"332",0.00744150533009424
"333",-0.00713937786809105
"334",0.00368165885082483
"335",0.00289298013725592
"336",0.00592393918156908
"337",0.00457227695403084
"338",-0.00124230055050312
"339",0.0010201731682713
"340",-0.00183631150464514
"341",-0.00551416671323146
"342",-0.000786091874871886
"343",-0.00823122704507462
"344",0.00363438754824408
"345",-0.00328937669346985
"346",-0.00259811649474173
"347",-0.00356656018128554
"348",0.00827147819033591
"349",-0.0103855669148398
