"","x"
"1",-0.006073675564787
"2",0.000885739650467343
"3",0.00595830958363086
"4",0.0118112044160581
"5",0.0102753159697566
"6",0.00632875282296474
"7",-0.000427721931654634
"8",0.00586632782842766
"9",0.0204217623405505
"10",-0.00648131058310808
"11",0.000419419110688768
"12",-0.00367589554278203
"13",0.00189214815203798
"14",0.0128346941130992
"15",-0.0117850456489306
"16",-0.00568123569109913
"17",-0.0179916923802144
"18",0.0142920951157501
"19",-0.00520249609575929
"20",0.00826884795647675
"21",0.0257426955361804
"22",-0.00164765763466779
"23",0.00657424042217736
"24",0.0137273600780112
"25",-0.00648431882887435
"26",-0.00234056998605237
"27",-0.0263241006651143
"28",0.00552858041004889
"29",-0.00563323023711559
"30",-0.00492887579561874
"31",-0.00168354413325789
"32",-0.00506753607530408
"33",0.00274804104868176
"34",0.0131077224296474
"35",-0.000208335074901367
"36",0.0131464656830502
"37",0.00267026969121531
"38",0.00491103903128431
"39",0.0119713304707494
"40",0.0137214429114936
"41",0.000397812039059975
"42",9.94282874295926e-05
"43",0.0073303943896561
"44",0.00216898438577351
"45",-0.00642199509896013
"46",0.0122156580039499
"47",0.00117432249867333
"48",0.00244200365555169
"49",0.00777461626929776
"50",-0.0431237686196564
"51",-0.00832238607140789
"52",0.00862551375190357
"53",-0.00618255656060818
"54",-0.00376882552075752
"55",0.0302551250140253
"56",0.00424838854664467
"57",0.00226504597769406
"58",-0.000295223574381165
"59",-0.00760531114263774
"60",0.00711324872451957
"61",0.00206520209114958
"62",-0.00818746867134568
"63",0.000989961490411861
"64",0.0155133600240664
"65",-0.00870889598467661
"66",-0.0388787160144348
"67",0.0290020925185228
"68",-0.00637261939540013
"69",0.00637261939540013
"70",-0.0157058197658047
"71",0.00723330459352001
"72",-0.00280669785679155
"73",0
"74",-0.00877158401648526
"75",0.0205469915385761
"76",0.00218008212397924
"77",-0.00287476777908147
"78",-0.00917537104235544
"79",-0.0106769348411184
"80",-0.0123288534993242
"81",-0.0132096448528203
"82",0.0145415440302989
"83",0.0211728920086256
"84",0.0268027313436154
"85",0.00506178448736083
"86",0.017708133165494
"87",0.00371340583817981
"88",-0.00104597546739837
"89",0.0153885125962989
"90",0.00560539605235411
"91",-0.00335939099064619
"92",0.00948928863095011
"93",0.0128796628636612
"94",-0.00733948248804595
"95",0.00239124550621916
"96",-0.0014708956774192
"97",0.00284790050551287
"98",-0.00165262612617756
"99",0.00796229911013269
"100",0.0140305902282467
"101",0.0140137072654802
"102",0.0119825222242835
"103",-0.00166546037822402
"104",0.0129000658058751
"105",-0.00695231791355155
"106",0.014200567909882
"107",0.00137472315446541
"108",0.0183756428401671
"109",-0.00872033649020088
"110",0.0118344576470029
"111",-0.000588408372375504
"112",-0.0329944459037868
"113",-0.00383112360332882
"114",0.0112770454502717
"115",-0.00380264919034801
"116",-0.00425178312871211
"117",-0.0228681909036594
"118",0.0151866239365317
"119",-0.0191982540815956
"120",-0.00295202611836798
"121",-0.0170774417403394
"122",-0.0137642101904354
"123",-0.01376897715665
"124",0.0246126779396936
"125",0.029183336829826
"126",-0.00775301303670117
"127",0.0103240858201734
"128",-0.00354802565659273
"129",-0.00472052527038835
"130",0.0175225014231448
"131",-0.000701992130627271
"132",-0.0122777499548423
"133",-0.0192020262995141
"134",-0.00955809032651223
"135",-0.0285760236418673
"136",9.4150861785991e-05
"137",0.0139247703175451
"138",0.0377025168357723
"139",0.00107194291511492
"140",-0.0249493547590451
"141",0.00883953447938968
"142",-0.00381780294978684
"143",-0.027515390593678
"144",-0.00780046261187062
"145",0.0254310575431345
"146",0.00760533271159458
"147",0.0256828349051079
"148",0.00514690984202115
"149",0.00106153582046309
"150",-0.035640921363989
"151",0.0549926573358395
"152",0.0306586846028107
"153",-0.0147422475958585
"154",0.01246881585385
"155",0.000168610927045343
"156",0.00764032107795831
"157",0.00317334713064055
"158",-0.00845656635121772
"159",0.00662059824534422
"160",0.0190292499576965
"161",0.0231683112342318
"162",0.0125728084540406
"163",0.00489075677084827
"164",0.00588444677861499
"165",0.00693824650419739
"166",-0.00209981026875727
"167",0.00814118872422176
"168",0.0266682470821618
"169",-0.00626015545203895
"170",-0.025905863981762
"171",0.012576903177103
"172",-0.0151423778592168
"173",0.00489217042664469
"174",0.00208941073636737
"175",-0.0063591375631491
"176",-0.0167094535551704
"177",0.00150188555954411
"178",0.00425633179818652
"179",-0.020902775418008
"180",-0.0183997733945578
"181",0.0179177039764817
"182",-0.0069343934356132
"183",0.0109440220315906
"184",0.0165883722306699
"185",0.0111934165446925
"186",-0.00757904944503762
"187",-0.0126284235481791
"188",0.0103513231178178
"189",-0.00409607498102682
"190",-0.0264741978257659
"191",0.00694615528335429
"192",-0.00800033372188169
"193",0.0249993305008718
"194",-0.0154708346361314
"195",-0.00144764381080176
"196",0.00857480110725284
"197",0.016068735341475
"198",-0.0105779008003521
"199",-0.00325904659101539
"200",0.00761421837968257
"201",0.00425770578162732
"202",-0.00196889215011753
"203",-0.00434522501822032
"204",0.00379323982894997
"205",-0.00482309691637051
"206",-0.0113184693080215
"207",0.0225886362790613
"208",-0.00542216557021824
"209",0.0133840842668826
"210",0.00813047195343897
"211",0.00469321884723994
"212",0.0180280398666297
"213",-0.015881159696121
"214",-0.0148150551478854
"215",-0.0275047875528727
"216",0.0299116834297948
"217",-0.00194061778552879
"218",-0.0227907074592073
"219",-0.00629960996293066
"220",0.00199784293093286
"221",0.0186655207524056
"222",-0.0102387598358633
"223",-0.00356870986515423
"224",0.00111164054288126
"225",0.0230634006824646
"226",-0.00139680295875033
"227",0.0109670542848033
"228",-0.00092212405264025
"229",-7.69768950217298e-05
"230",0.0101741479677613
"231",0.00871442664721167
"232",-0.0222773641608081
"233",0.0184977842571556
"234",-0.00197098091161596
"235",-0.0114478850776409
"236",0.00199365151513886
"237",-0.00445285956487185
"238",0.00123029850599554
"239",-0.00585785559544405
"240",-0.00550373872532095
"241",-0.0066289033011917
"242",-0.00297785655399663
"243",0.0113930532169997
"244",-0.00225275272961234
"245",-0.0111042431430741
"246",-0.00196780731766033
"247",0.00534340419569457
"248",-0.00235383392549116
"249",0.00454575592711759
"250",-0.01005978320224
"251",0.00794622803580891
"252",-0.00455545871051566
"253",0.00846599083297317
"254",-0.00477290526986174
"255",-0.00589972212718815
"256",-0.0176699917382352
"257",0.00720118330352593
"258",0.00928467567349278
"259",-0.00126459072710094
"260",-0.00348601203149723
"261",-0.00246331719040249
"262",-0.0251362944080014
"263",-0.0206073893104475
"264",0.026383284969234
"265",0.0191216877948674
"266",-0.00039801010756646
"267",0.00958688957272402
"268",0.0132379329211814
"269",0.00860037094706723
"270",0.0187250834895152
"271",-0.010045042684617
"272",-0.0432149126278678
"273",-0.000479239557391153
"274",-0.00528723485501104
"275",-0.0139930622932636
"276",0.00495633774982807
"277",-0.00316597262997753
"278",-0.00505374404602277
"279",-0.00878242575923016
"280",-0.0238603119203322
"281",-0.0326097534858478
"282",0.0066075705540829
"283",-0.0023424641317602
"284",0.00338175057623769
"285",0.0357120424660216
"286",-0.0534409909168474
"287",0.0153021834385063
"288",-0.000781249239462767
"289",0.00700967778676054
"290",0.0102952520474227
"291",-0.00564928309512203
"292",-0.0128721571216817
"293",-0.0207334490058204
"294",-0.0631132529533955
"295",-0.0252790165041672
"296",0.00599433294462948
"297",0.0557705115243272
"298",0.0290213614956412
"299",0.00327129950010896
"300",-0.00468920116591409
"301",-0.0457264337760854
"302",0.0419946835546927
"303",-0.0176915574715664
"304",-0.0100165470504416
"305",0.0274410223831549
"306",-0.0194197961108853
"307",0.0217321771183601
"308",0.0144636086958032
"309",0.00958526003140969
"310",0.00837695659674997
"311",0.00111740093078305
"312",-0.0216220289577929
"313",-0.00413427169563807
"314",0.0153943740819349
"315",-0.0158351587563104
"316",0.00808014232796017
"317",0.00593059474163793
"318",-0.00252492407007354
"319",-0.0199874226803174
"320",-0.0305216287920027
"321",0.0113058097033325
"322",-0.00654908641391927
"323",0.00727404566263612
"324",0.00361733083205218
"325",0.00477281296450061
"326",-0.00477281296450061
"327",-0.0116217033484025
"328",0.0236452127160929
"329",-0.00464871202543771
"330",0.0017010613350239
"331",-0.0142344745787839
